35000	11164	-10264	1940	-87
35000	-9290	9153	2349	90
35000	710	-10916	2213	-131
35000	12415	5273	1753	-21
35000	4702	-14285	1936	-116
35000	-11678	-9582	2633	174
35000	5902	3137	1768	-17
35000	-6248	-8905	2197	-170
35000	11911	14007	2610	4
35000	-6232	12538	1594	71
35000	12475	6798	2386	-16
35000	4489	-13717	2074	-116
35000	7973	-12329	1845	-102
35000	7278	12031	1962	13
35000	4539	7196	2276	12
35000	-9849	12413	2257	83
35000	4782	-3921	2117	-84
35000	7483	-1125	2057	-53
35000	-6926	216	1940	133
35000	10605	2947	1937	-29
35000	2767	-7947	1649	-115
35000	11628	8055	2209	-10
35000	7853	-4336	1557	-73
35000	5336	-5377	1700	-90
35000	-11098	8201	1769	98
35000	-8296	6963	2194	94
35000	-7749	4245	2152	106
35000	-11043	4991	2770	110
35000	10355	-167	1921	-45
35000	-497	-10297	2234	-137
